Title,Additional Authors,ISBN,My Rating,Publisher,Binding,Year Published,Date Read,Date Added,Bookshelves,My Review,Author,Owned,Favorite,Wishlist,Plan To Read,Currently Reading,Read,ASIN,Shelfari Edition Id,Shelfari Book Id,Condition,Original Purchase Date,Purchase Price,Private Notes,Loaned,Loaned To,Loaned On,Loan Due,Shelfari Date Read,Is Private
Harry Potter and the Order of the Phoenix,"Rowling, J. K.",0747569614,0,,Hardcover,2003,01010001,03122011,,,J. K. Rowling,False,False,False,False,False,True,0747569614,11137,11088,,01010001,0,,False,False,,01010001,01010001,,False
Harry Potter and the Prisoner of Azkaban,"Rowling, J. K.",0439136369,0,,Paperback,2001,01010001,03122011,,,J.K. Rowling,False,False,False,False,False,True,0439136369,11138,11089,,01010001,0,,False,False,,01010001,01010001,,False
Harry Potter and the Goblet of Fire,"Rowling, J. K.",0439139600,0,,Paperback,2002,01010001,03122011,,,J. K. Rowling,False,False,False,False,False,True,0439139600,11140,11091,,01010001,0,,False,False,,01010001,01010001,,False
A Storm of Swords,"Martin, George R. R.",0739308726,4,,Audio Cassette,2004,17072012,11062012,,,George R.R. Martin,False,False,False,False,False,True,0739308726,11154,11104,,01010001,0,,False,False,,01010001,01010001,7/17/2012,False
A Game of Thrones,"Martin, George R. R.",0553588486,0,,Mass Market Paperback,2005,11062012,03122011,,,George R.R. Martin,False,False,False,False,False,True,0553588486,11155,11105,,01010001,0,,False,False,,01010001,01010001,6/11/2012,False
A Feast for Crows,"Martin, George R. R.",0553801503,3,,Hardcover,2005,09082012,03122011,"a song of ice and fire,epic fantasy,george r r martin,politics",,George R. R. Martin,False,False,False,False,False,True,0553801503,11156,11106,,01010001,0,,False,False,,01010001,01010001,8/9/2012,False
Eragon,"Paolini, Christopher",0375826696,0,,Paperback,2005,01010001,23122011,,,Christopher Paolini,False,False,False,False,False,True,0375826696,11158,11108,,01010001,0,,False,False,,01010001,01010001,,False
Count Zero,"Gibson, William",0441013678,0,,Paperback,2006,01010001,03122011,,,William Gibson,False,False,False,False,False,True,0441013678,11162,11112,,01010001,0,,False,False,,01010001,01010001,,False
Mona Lisa Overdrive,"Gibson, William",0553281747,3,,Mass Market Paperback,1989,01010001,04122011,,,William Gibson,False,False,False,False,False,True,0553281747,11163,11113,,01010001,0,,False,False,,01010001,01010001,,False
Neuromancer,"Gibson, William",0441569595,0,,Mass Market Paperback,1984,01010001,03122011,,,William Gibson,False,False,False,False,False,True,0441569595,11164,11114,,01010001,0,,False,False,,01010001,01010001,,False
Cryptonomicon,"Stephenson, Neal",0060512806,0,,Mass Market Paperback,2002,01010001,03122011,,,Neal Stephenson,False,False,False,False,False,True,0060512806,11165,11115,,01010001,0,,False,False,,01010001,01010001,,False
Zodiac,"Stephenson, Neal",0553573861,0,,Paperback,1995,01010001,03122011,,,Neal Stephenson,False,False,False,False,False,True,0553573861,11166,11116,,01010001,0,,False,False,,01010001,01010001,,False
The Diamond Age,"Stephenson, Neal",0553380966,0,,Paperback,2000,01010001,03122011,,,Neal Stephenson,False,False,False,False,False,True,0553380966,11167,11117,,01010001,0,,False,False,,01010001,01010001,,False
The Prince,"Machiavelli, Niccolò",0312149786,0,,Paperback,2005,01010001,03122011,,,Niccolo Machiavelli,False,False,False,False,False,True,0312149786,11179,11129,,01010001,0,,False,False,,01010001,01010001,,False
Zen and the Art of Motorcycle Maintenance,"Pirsig, Robert M.",0688052304,0,,Paperback,1979,01010001,03122011,,,Robert M Pirsig,False,False,False,False,False,True,0688052304,11181,11131,,01010001,0,,False,False,,01010001,01010001,,False
Singularity Sky,"Stross, Charles",0441011799,3,,Mass Market Paperback,2004,15042012,03122011,"science fiction,time travel,charles stross",,Charles Stross,False,False,False,False,False,True,0441011799,11183,11133,,01010001,0,,False,False,,01010001,01010001,4/15/2012,False
Kitchen Confidential,"Bourdain, Anthony",0060934913,0,,Paperback,2001,01010001,04122011,,,Anthony Bourdain,False,False,False,False,False,True,0060934913,11309,11256,,01010001,0,,False,False,,01010001,01010001,,False
How to Read a Book,"Adler, Mortimer J.; Charles Lincoln Van Doren",0671212095,0,,Paperback,1972,01010001,03122011,,,"Mortimer J. Adler, Charles Van Doren",False,False,False,True,False,False,0671212095,11396,11342,,01010001,0,,False,False,,01010001,01010001,,False
Harry Potter and the Sorcerer's Stone,"Rowling, J. K.",3348312193,0,,Hardcover,2003,01010001,03122011,,,J. K. Rowling,False,False,False,False,False,True,0439554934,11863,11777,,01010001,0,,False,False,,01010001,01010001,,False
The Call of the Wild,"London, Jack",0760727937,0,,Paperback,2001,01010001,03122011,,,,False,False,False,False,False,True,0760727937,11896,11810,,01010001,0,,False,False,,01010001,01010001,,False
Slaughterhouse-Five,"Vonnegut, Kurt, Jr.",0385333846,0,,Paperback,1999,01010001,21122011,,,Kurt Vonnegut,False,False,False,False,False,True,0385333846,11968,11877,,01010001,0,,False,False,,01010001,01010001,,False
Welcome to the Monkey House,"Vonnegut, Kurt, Jr.",0385333501,0,,Paperback,1998,01010001,03122011,,,Kurt Vonnegut,False,False,False,False,False,True,0385333501,11969,11878,,01010001,0,,False,False,,01010001,01010001,,False
The Botany of Desire,"Pollan, Michael",0375760393,0,,Paperback,2002,01010001,04122011,,,Michael Pollan,False,False,False,False,False,True,0375760393,11978,11887,,01010001,0,,False,False,,01010001,01010001,,False
A Walk in the Woods,"Bryson, Bill",0767902513,0,,Hardcover,1998,01010001,03122011,,,Bill Bryson,False,False,False,False,False,True,0767902513,12105,12013,,01010001,0,,False,False,,01010001,01010001,,False
Sophie's World,"Gaarder, Jostein",0425152251,0,,Mass Market Paperback,1996,01010001,03122011,,,Jostein Gaarder,False,False,False,False,False,True,0425152251,12140,12048,,01010001,0,,False,False,,01010001,01010001,,False
The Two Towers,"Tolkien, J. R. R.",0618574956,0,,Paperback,2005,01010001,03122011,,,J.R.R. Tolkien,False,False,False,False,False,True,0618574956,12507,16113,,01010001,0,,False,False,,01010001,01010001,,False
The Colorado Kid,"King, Stephen",0843955848,0,,Mass Market Paperback,2005,01010001,04122011,,,Stephen King,False,False,False,False,False,True,0843955848,12605,12479,,01010001,0,,False,False,,01010001,01010001,,False
Desperation,"King, Stephen",0451188462,0,,Mass Market Paperback,1997,01010001,04122011,,,Stephen King,False,False,False,False,False,True,0451188462,12608,12482,,01010001,0,,False,False,,01010001,01010001,,False
It,"King, Stephen",0451169514,0,,Mass Market Paperback,1987,01010001,04122011,,,Stephen King,False,False,False,False,False,True,0451169514,12609,12483,,01010001,0,,False,False,,01010001,01010001,,False
On Writing,"King, Stephen",0743455967,0,,Mass Market Paperback,2002,01010001,04122011,,,Stephen King,False,True,False,False,False,True,0743455967,12610,12484,,01010001,0,,False,False,,01010001,01010001,,False
"The Lion, the Witch and the Wardrobe","Lewis, C. S.",0061125237,0,,Hardcover,2006,01010001,03122011,,,C. S. Lewis,False,False,False,False,False,True,0061125237,12648,12517,,01010001,0,,False,False,,01010001,01010001,,False
Bowling Alone,"Putnam, Robert D.",0743203046,0,,Paperback,2001,01010001,03122011,,,Robert D. Putnam,False,False,False,False,False,False,0743203046,14021,13788,,01010001,0,,False,False,,01010001,01010001,,False
The E-Myth Revisited,"Gerber, Michael E.",9780887307287,3,,Paperback,1995,01010001,04122011,,,Michael E. Gerber,False,False,False,False,False,True,0887307280,14837,14559,,01010001,0,,False,False,,01010001,01010001,,False
The Inferno,"Alighieri, Dante",0385496982,0,,Paperback,2002,01010001,03122011,,,Dante,False,False,False,False,False,True,0385496982,14929,14646,,01010001,0,,False,False,,01010001,01010001,,False
Getting Started,"Pryor, Karen",189094811X,3,,Paperback,2002,09042012,09042012,,"Not enough details here, but what is here is good. ",Karen Pryor,False,False,False,False,False,True,189094811X,15309,14995,,01010001,0,,False,False,,01010001,01010001,4/9/2012,False
The Rapid Fat Loss Handbook: A Scientific Approach to Crash Dieting,,0967145643,3,,Spiral-bound,2005,02022012,17012012,,,Lyle McDonald,False,False,False,False,False,True,0967145643,15367,15047,,01010001,0,,False,False,,01010001,01010001,2/2/2012,False
Hamlet,"Shakespeare, William",074347712X,0,,Mass Market Paperback,1992,01010001,03122011,,,William Shakespeare,False,False,False,False,False,True,074347712X,15400,9491032,,01010001,0,,False,False,,01010001,01010001,,False
A Canticle for Leibowitz,"Miller, Walter M., Jr.",0060892994,0,,Paperback,2006,01010001,04122011,,,Walter M. Miller Jr.,False,False,False,False,False,True,0060892994,15479,15126,,01010001,0,,False,False,,01010001,01010001,,False
The Portable Henry Rollins,"Rollins, Henry",0375750002,0,,Paperback,1998,01010001,06052012,,,Henry Rollins,False,False,False,False,False,True,0375750002,16218,15835,,01010001,0,,False,False,,01010001,01010001,,False
Winning Low-Limit Hold'em,"Jones, Lee",1886070237,0,,Paperback,2005,01010001,04122011,,,Lee Jones,False,False,False,False,False,True,1886070237,17141,16690,,01010001,0,,False,False,,01010001,01010001,,False
About a Boy,"Hornby, Nick; Philip Hewitt",0140293450,0,,Paperback,2000,01010001,06052012,,,Nick Hornby,False,False,False,False,False,True,0140293450,17237,16783,,01010001,0,,False,False,,01010001,01010001,,False
What Would Machiavelli Do?,"Bing, Stanley",0066620104,3,,Paperback,2004,19022013,17022013,"humor,business,machiavelli",,Stanley Bing,False,False,False,False,False,True,0066620104,18260,17745,,01010001,0,,False,False,,01010001,01010001,2/19/2013,False
"50 Self-Help Classics: 50 Inspirational Books to Transform Your Life, From Timeless Sages to Contemporary Gurus","Butler-Bowdon, Tom",1857883233,0,,Paperback,2003,01010001,04122011,,,Tom Butler-Bowdon,False,False,False,False,False,True,1857883233,18380,17859,,01010001,0,,False,False,,01010001,01010001,,False
The Grapes of Wrath,"Steinbeck, John",0140042393,3,,Paperback,1976,01010001,04122011,,,John Steinbeck,False,False,False,False,False,True,0140042393,18501,17977,,01010001,0,,False,False,,01010001,01010001,,False
Organizing from the Inside Out,"Morgenstern, Julie",0805075895,0,,Paperback,2004,01010001,03122011,,,Julie Morgenstern,True,False,False,False,False,True,0805075895,18650,18114,,01010001,0,,False,False,,01010001,01010001,,False
The Fall,"Camus, Albert",0679720227,0,,Paperback,1991,01010001,03122011,,,Albert Camus,False,False,False,False,False,True,0679720227,19233,18664,,01010001,0,,False,False,,01010001,01010001,,False
Nightmares and Dreamscapes,"King, Stephen",0451180232,0,,Mass Market Paperback,1994,01010001,04122011,,,Stephen King,False,False,False,False,False,True,0451180232,19458,18883,,01010001,0,,False,False,,01010001,01010001,,False
Song of Susannah,"King, Stephen",1416521496,0,,Mass Market Paperback,2006,01010001,04122011,,,Stephen King,False,False,False,False,False,True,1416521496,19460,18885,,01010001,0,,False,False,,01010001,01010001,,False
Roadwork,"King, Stephen; Richard Bachman",9780451197870,0,,Mass Market Paperback,1999,01010001,04122011,,,Stephen King,False,False,False,False,False,True,0451197879,19463,18888,,01010001,0,,False,False,,01010001,01010001,,False
The Long Walk,"King, Stephen; Richard Bachman",9780451196712,0,,Mass Market Paperback,1999,01010001,04122011,,,Stephen King,False,False,False,False,False,True,0451196716,19465,18890,,01010001,0,,False,False,,01010001,01010001,,False
The Eyes of the Dragon,"King, Stephen",0451166582,0,,Mass Market Paperback,1987,01010001,04122011,,,Stephen King,False,False,False,False,False,True,0451166582,19466,18891,,01010001,0,,False,False,,01010001,01010001,,False
Wolves of the Calla,"King, Stephen",141651693X,0,,Mass Market Paperback,2006,01010001,04122011,,,Stephen King,False,False,False,False,False,True,141651693X,19470,18895,,01010001,0,,False,False,,01010001,01010001,,False
Insomnia,"King, Stephen",0451184963,0,,Mass Market Paperback,1995,01010001,04122011,,,Stephen King,False,False,False,False,False,True,0451184963,19472,18897,,01010001,0,,False,False,,01010001,01010001,,False
The Girl Who Loved Tom Gordon,"King, Stephen",0671042858,0,,Mass Market Paperback,2000,01010001,04122011,,,Stephen King,False,False,False,False,False,True,0671042858,19473,18898,,01010001,0,,False,False,,01010001,01010001,,False
Firestarter,"King, Stephen",0451167805,0,,Mass Market Paperback,1981,01010001,04122011,,,Stephen King,False,False,False,False,False,True,0451167805,19475,18900,,01010001,0,,False,False,,01010001,01010001,,False
Black House,"King, Stephen; Peter Straub",034547063X,0,,Paperback,2003,01010001,04122011,,,"Stephen King, Peter Straub",False,False,False,False,False,True,034547063X,19480,18905,,01010001,0,,False,False,,01010001,01010001,,False
Rose Madder,"King, Stephen",0451186362,0,,Mass Market Paperback,1996,01010001,04122011,,,Stephen King,False,False,False,False,False,True,0451186362,19482,18907,,01010001,0,,False,False,,01010001,01010001,,False
Different Seasons,"King, Stephen",0451167538,0,,Mass Market Paperback,1983,01010001,04122011,,,Stephen King,False,False,False,False,False,True,0451167538,19485,38345,,01010001,0,,False,False,,01010001,01010001,,False
The Drawing of the Three,"King, Stephen",0451163524,0,,Mass Market Paperback,1990,01010001,04122011,,,Stephen King,False,False,False,False,False,True,0451163524,19490,18892,,01010001,0,,False,False,,01010001,01010001,,False
The Dark Half,"King, Stephen",0451167317,0,,Mass Market Paperback,1990,01010001,04122011,,,Stephen King,False,False,False,False,False,True,0451167317,19492,18916,,01010001,0,,False,False,,01010001,01010001,,False
From a Buick 8,"King, Stephen",0743417682,0,,Mass Market Paperback,2003,01010001,04122011,,,Stephen King,False,False,False,False,False,True,0743417682,19494,18918,,01010001,0,,False,False,,01010001,01010001,,False
The Running Man,"King, Stephen; Richard Bachman",0451197968,0,,Mass Market Paperback,1999,01010001,04122011,,,Stephen King,False,False,False,False,False,True,0451197968,19496,18920,,01010001,0,,False,False,,01010001,01010001,,False
Danse Macabre,"King, Stephen",042518160X,0,,Paperback,2001,01010001,04122011,,,Stephen King,False,False,False,False,False,True,042518160X,19497,18921,,01010001,0,,False,False,,01010001,01010001,,False
Skeleton Crew,"King, Stephen",0451168615,0,,Mass Market Paperback,1986,01010001,04122011,,,Stephen King,False,False,False,False,False,True,0451168615,19498,18922,,01010001,0,,False,False,,01010001,01010001,,False
The Gunslinger,"King, Stephen",0451160525,0,,Mass Market Paperback,1989,01010001,04122011,,,Stephen King,False,False,False,False,False,True,0451160525,19502,18926,,01010001,0,,False,False,,01010001,01010001,,False
'Salem's Lot,"King, Stephen",0450031063,0,,Paperback,1982,01010001,04122011,,,Stephen King,False,False,False,False,False,True,0450031063,19503,6046979,,01010001,0,,False,False,,01010001,01010001,,False
Rita Hayworth and Shawshank Redemption,"King, Stephen",0451183940,0,,Mass Market Paperback,1994,01010001,04122011,,,Stephen King,False,False,False,False,False,True,0451183940,19504,18928,,01010001,0,,False,False,,01010001,01010001,,False
The Talisman,"King, Stephen; Peter Straub",0345444884,0,,Mass Market Paperback,2001,01010001,04122011,,,"Stephen King, Peter Straub",False,False,False,False,False,True,0345444884,19508,18931,,01010001,0,,False,False,,01010001,01010001,,False
The Waste Lands,"King, Stephen",0451173317,0,,Mass Market Paperback,1993,01010001,04122011,,,Stephen King,False,False,False,False,False,True,0451173317,19509,18932,,01010001,0,,False,False,,01010001,01010001,,False
The Moon Is a Harsh Mistress,"Heinlein, Robert A.",0312863551,0,,Paperback,1997,01010001,03122011,,,Robert A. Heinlein,False,False,False,False,False,True,0312863551,19600,19022,,01010001,0,,False,False,,01010001,01010001,,False
1984,"Orwell, George",9685270880,0,,Paperback,2002,01010001,03122011,,,George Orwell,False,False,False,False,False,True,9685270880,19680,17728,,01010001,0,,False,False,,01010001,01010001,,False
A Wind in the Door,"L'Engle, Madeleine",044098761X,3,,Mass Market Paperback,1976,01010001,04122011,,,Madeleine L'Engle,False,False,False,False,False,True,044098761X,19730,19136,,01010001,0,,False,False,,01010001,01010001,,False
A Wrinkle in Time,"L'Engle, Madeleine",,0,,Leather Bound,1995,01010001,03122011,,,,False,False,False,False,False,True,B000DN8CLI,19803,19166,,01010001,0,,False,False,,01010001,01010001,,False
The Cobweb,"George, J. Frederick; Neal Stephenson; Stephen Bury",0553383442,0,,Paperback,2005,01010001,03122011,,,"Neal Stephenson, J. Frederick George",False,False,False,False,False,True,0553383442,20135,19520,,01010001,0,,False,False,,01010001,01010001,,False
Quicksilver,"Stephenson, Neal",0380977427,0,,Hardcover,2003,01010001,03122011,,,Neal Stephenson,False,False,False,False,False,True,0380977427,20137,19522,,01010001,0,,False,False,,01010001,01010001,,False
Interface,"Stephenson, Neal; J. Frederick George; Stephen Bury",0553383434,0,,Paperback,2005,01010001,03122011,,,"Neal Stephenson, J. Frederick George",False,False,False,False,False,True,0553383434,20139,19524,,01010001,0,,False,False,,01010001,01010001,,False
Fahrenheit 451,"Bradbury, Ray",0007181701,0,,Paperback,2004,01010001,03122011,,,Ray Bradbury,False,False,False,False,False,True,0007181701,20393,19754,,01010001,0,,False,False,,01010001,01010001,,False
The Mathematics of Poker,"Ankenman, Jerrod; Bill Chen",1886070253,0,,Paperback,2006,01010001,03122011,,,"Bill Chen, Jerrod Ankenman",True,False,False,False,False,True,1886070253,21196,20492,,01010001,0,,False,False,,01010001,01010001,,False
Improve Your Poker,,0966100700,0,,Paperback,1997,01010001,03122011,,,Bob Ciaffone,True,False,False,False,False,True,0966100700,21215,20511,,01010001,0,,False,False,,01010001,01010001,,False
Finite and Infinite Games,"Carse, James P.",0345341848,0,,Mass Market Paperback,1987,01010001,04122011,,,James P. Carse,False,False,False,False,False,True,0345341848,22321,21531,,01010001,0,,False,False,,01010001,01010001,,False
Fooled by Randomness,"Taleb, Nassim Nicholas",0812975219,0,,Paperback,2005,01010001,04122011,,,Nassim Nicholas Taleb,False,False,False,False,False,True,0812975219,22342,21552,,01010001,0,,False,False,,01010001,01010001,,False
The Silence of the Lambs,"Harris, Thomas",0312022824,0,,Hardcover,1988,01010001,17122011,,,Thomas Harris,False,False,False,False,False,True,0312022824,22433,21637,,01010001,0,,False,False,,01010001,01010001,,False
Gates of Fire,"Pressfield, Steven",0385492510,0,,Hardcover,1998,01010001,04122011,,,Steven Pressfield,False,False,False,False,False,True,0385492510,22901,22030,,01010001,0,,False,False,,01010001,01010001,,False
Diary,"Palahniuk, Chuck",1400032814,0,,Paperback,2004,01010001,04122011,,,Chuck Palahniuk,False,False,False,False,False,True,1400032814,24968,23720,,01010001,0,,False,False,,01010001,01010001,,False
Man's Search for Meaning,"Frankl, Viktor Emil",0807014265,0,,Hardcover,2000,01010001,03122011,,,Viktor E. Frankl,False,False,False,False,False,True,0807014265,25090,23816,,01010001,0,,False,False,,01010001,01010001,,False
Linked,"Baraba?si, Albert-La?szlo?.",0452284392,3,,Paperback,2003,30102013,14092013,"non-fiction,nonfiction,science,mathematics,complexity theory,social network,complexity,networks",,Albert-Laszlo Barabasi,False,False,False,False,False,True,0452284392,25555,24177,,01010001,0,,False,False,,01010001,01010001,10/30/2013,False
The Lost Continent,"Bryson, Bill",0060920084,0,,Paperback,2001,01010001,03122011,,,Bill Bryson,False,False,False,False,False,True,0060920084,25574,24191,,01010001,0,,False,False,,01010001,01010001,,False
Neither Here nor There,"Bryson, Bill",0380713802,0,,Paperback,2001,01010001,03122011,,,Bill Bryson,False,False,False,False,False,True,0380713802,25575,24192,,01010001,0,,False,False,,01010001,01010001,,False
The Mother Tongue,"Bryson, Bill",0380715430,0,,Paperback,1990,01010001,03122011,,,Bill Bryson,False,False,False,False,False,True,0380715430,25577,24194,,01010001,0,,False,False,,01010001,01010001,,False
The Millionaire Next Door,"Stanley, Thomas J.; William D. Danko",0671015206,0,,Paperback,1998,01010001,04122011,,,"Thomas J. Stanley, William D. Danko",False,False,False,False,False,True,0671015206,25784,24355,,01010001,0,,False,False,,01010001,01010001,,False
Hocus Pocus,"Vonnegut, Kurt, Jr.",0399135499,3,,Hardcover,1990,01010001,21122011,,,Kurt Vonnegut,False,False,False,False,False,True,0399135499,26218,24714,,01010001,0,,False,False,,01010001,01010001,,False
Breakfast of Champions,"Vonnegut, Kurt, Jr.",0385334206,0,,Paperback,1999,01010001,03122011,,,Kurt Vonnegut,False,False,False,False,False,True,0385334206,26219,24715,,01010001,0,,False,False,,01010001,01010001,,False
Authentic Happiness,"Seligman, Martin E. P.",0743222989,3,,Paperback,2004,28032013,30032013,"non-fiction,nonfiction,psychology,self-improvement,positive psychology,happiness,audio cds,mindset and psychology",,Martin E. P. Seligman,False,False,False,False,False,True,0743222989,27061,25332,,01010001,0,,False,False,,01010001,01010001,3/28/2013,False
The Great Hunt,"Jordan, Robert",0812517725,3,,Mass Market Paperback,1991,01010001,04122011,,,Robert Jordan,False,False,False,False,False,True,0812517725,27120,25380,,01010001,0,,False,False,,01010001,01010001,,False
The Dragon Reborn,"Jordan, Robert",0812513711,2,,Mass Market Paperback,1992,01010001,04122011,,,Robert Jordan,False,False,False,False,False,True,0812513711,27156,25410,,01010001,0,,False,False,,01010001,01010001,,False
The Automatic Millionaire,"Bach, David",0767923820,0,,Paperback,2005,01010001,04122011,,,David Bach,False,False,False,False,False,True,0767923820,27286,25524,,01010001,0,,False,False,,01010001,01010001,,False
Snow Crash,"Stephenson, Neal",0553380958,0,,Paperback,2000,01010001,03122011,,,Neal Stephenson,False,False,False,False,False,True,0553380958,27367,25598,,01010001,0,,False,False,,01010001,01010001,,False
The Big U,"Stephenson, Neal",0380816032,0,,Paperback,2001,01010001,03122011,,,Neal Stephenson,False,False,False,False,False,True,0380816032,27368,25599,,01010001,0,,False,False,,01010001,01010001,,False
In the Beginning...was the Command Line,"Stephenson, Neal",0380815931,0,,Paperback,1999,01010001,03122011,,,Neal Stephenson,False,False,False,False,False,True,0380815931,27370,25601,,01010001,0,,False,False,,01010001,01010001,,False
Idoru,"Gibson, William",0425190455,3,,Paperback,2003,01010001,04122011,,,William Gibson,False,False,False,False,False,True,0425190455,27375,25604,,01010001,0,,False,False,,01010001,01010001,,False
